,81.06.mp4,81.17.mp4,87.43.mp4,steps
0,64.15775111,159.5014495,174.2189386,
1,119.4414504,70.24294535,69.22162992,
2,80.11785724,92.04364487,100.8847471,
3,32.47023644,99.14254217,113.41599,
4,169.3943064,78.02374889,40.55180857,
5,168.5962443,140.5281942,88.75386553,
6,168.2436892,72.86523699,142.7847057,
7,129.582777,144.2896122,149.0233306,
8,131.0894865,37.06336417,174.7478765,
9,67.03945088,25.64485236,99.6312615,
10,71.93262273,81.62348475,178.0101575,
11,155.8423501,5.979132456,142.3567698,1
12,158.4421534,112.7320312,157.343781,
13,155.870488,179.2536668,162.8249105,
14,171.5661287,157.1005468,176.2272787,
15,161.3354849,134.5475513,163.026483,
16,146.9091586,149.5951239,169.8656551,
17,144.1889131,163.6895458,148.9818738,
18,140.32138,165.9180678,154.6381552,
19,158.2322616,164.5918171,150.2044174,
20,179.6368699,165.5178809,156.6053427,
21,176.4143871,168.8633096,159.8260731,
22,166.2108312,169.1936997,160.9326008,2
23,154.6555829,178.6978259,164.2411323,
24,165.037525,173.3743132,176.8592792,
25,164.3731848,175.2832415,179.2812431,
26,165.761905,173.1079675,175.0523139,
27,164.7656372,169.3265004,171.1913483,
28,163.560611,179.9501151,163.2026947,
29,162.2739254,177.6630474,173.5669232,
30,159.517966,174.1172032,174.2057002,
31,159.3368283,176.2976099,179.1695997,
32,160.3487126,177.1415467,177.0368325,
33,159.2210715,178.2612789,176.6479002,3
34,166.6271537,169.9618831,165.3343586,
35,159.429383,170.7291229,164.5675295,
36,171.9213815,168.8611538,173.2078744,
37,175.0452472,170.9478734,169.1001448,
38,175.3118433,172.0623066,163.0904902,
39,175.6501602,169.8060449,163.2320766,
40,172.5676611,179.8577752,161.5821783,
41,172.9920034,178.5436549,168.1349891,
42,169.7921914,173.7666829,170.5391859,4
43,165.2562916,179.0708529,174.56026,
44,165.4782114,179.4630737,171.4727868,
45,168.1651024,173.510522,179.6050043,
46,167.1530998,179.5633095,171.3687415,
47,167.8073166,172.9165456,172.9284292,
48,169.4886551,168.7770268,169.6395855,
49,176.4650139,167.5895968,168.198216,
50,166.1207383,171.0172579,165.4274005,
51,161.9803355,172.4999714,155.5468691,
52,159.4664731,167.9456899,175.4459853,
53,167.1463985,173.4842602,170.504976,
54,172.3443398,163.0816936,169.7762806,5
55,169.3197566,159.3034121,175.31514,
56,169.6356136,101.7115603,165.6297485,
57,178.6223197,154.4738016,156.0277477,
58,172.9046934,94.04437452,114.8073572,
59,143.0995659,119.2787544,145.7216201,
60,139.6476158,176.0689726,151.9316893,
61,101.7533996,5.695460928,53.08131986,
62,121.1141555,164.5670785,55.67428298,6
63,93.60528456,175.2219114,166.1197233,
64,1.337390105,177.0688275,164.9633462,
65,112.0286051,113.6959539,160.7111346,
66,171.2621328,165.4658164,79.59010555,
67,168.2750732,165.2767934,166.4736872,r
68,175.1055613,166.7248004,165.3808523,
69,138.4249643,164.5935449,166.6584285,
70,172.1208022,165.4285497,163.2999292,
71,173.5422044,159.57179,169.6347616,
72,163.4073407,163.5022334,166.2516993,
73,159.9435743,167.2296943,167.7096137,
74,159.8337699,168.4943541,166.5166036,
75,162.5300081,178.615791,171.604391,
76,159.0805178,176.3965423,171.6391792,
77,160.6924459,173.4640351,171.6391792,
78,159.078477,173.0733245,55.81867013,
79,173.6019893,172.7356318,158.5705102,
80,169.1803191,179.4101999,152.2574395,
81,169.4266142,176.5665374,163.1976935,
82,164.7304822,179.4323019,164.6728196,
83,166.2489274,175.7698361,164.9219478,
84,86.28741748,175.7698361,166.3027267,
85,150.9521389,175.7698361,175.1933392,
86,90.35678953,146.6946146,172.6124146,
87,90.35678953,172.5579654,174.357173,
88,157.9737784,178.0573126,164.3098942,
89,159.5014495,174.2189386,172.8887037,
