,81.06.mp4,81.17.mp4,87.43.mp4,steps
0,91.12955362,101.1618144,122.251824,
1,95.08667659,67.22586069,93.84702842,
2,94.11174223,108.9636922,122.2952115,
3,96.7917846,112.6221682,86.29019182,
4,87.54182877,103.3666863,83.5154067,
5,118.6166976,71.68879412,115.4935567,
6,118.9433167,45.24364334,118.230247,
7,117.4776952,1.827705455,64.10456735,
8,116.1862968,62.74318023,52.79371874,
9,109.0801739,63.59328464,50.54620694,
10,109.3559526,87.60907419,33.6054595,
11,100.6698247,122.6440465,163.4280536,1
12,49.52189213,106.0274712,160.7217912,
13,110.8162356,81.01355973,176.6745257,
14,97.33354602,78.54470396,147.3054493,
15,136.9853892,84.09952619,165.2591497,
16,166.7868439,89.77285615,108.5816363,
17,108.5982883,105.0840271,85.59531464,
18,123.0659246,80.18985928,94.71624858,
19,84.25346398,88.11421863,94.64364585,
20,106.4614989,81.95893368,92.13969376,
21,100.1408463,84.66719039,52.55019057,
22,71.26275148,82.10474183,48.27100738,2
23,121.1451557,156.1745645,54.0504405,
24,140.9704222,153.8883712,57.59217007,
25,132.7171363,148.7978517,73.78426163,
26,134.9065757,136.5638971,68.65215377,
27,124.0236715,168.8132922,79.15130375,
28,178.9558856,83.16635193,174.5077114,
29,173.1260505,68.24135413,89.00319746,
30,158.6244549,77.0155389,84.06012497,
31,164.5555167,94.46655444,79.16747531,
32,89.30757198,92.80330079,69.39441384,
33,86.65884622,97.23180865,76.41688043,3
34,81.77248193,109.4776438,89.04623537,
35,95.67505481,102.404957,89.31350625,
36,103.6141632,97.54492912,91.63142954,
37,102.510531,91.80556041,97.00322026,
38,103.9527628,91.08131795,84.1868375,
39,108.223592,89.77049243,86.29272644,
40,80.53966595,70.13126377,82.60569708,
41,78.14688048,71.10524163,80.30149515,
42,59.12324828,78.23276407,71.26017083,4
43,55.4303449,73.94224997,81.30815607,
44,64.73223099,76.72929787,73.27898555,
45,60.45900995,100.9754459,80.80547748,
46,59.53156885,99.85158215,109.4708977,
47,107.2196207,109.1189631,110.6242426,
48,86.9154324,82.99387163,98.37527512,
49,109.5546379,95.21237358,169.0928089,
50,107.6315322,83.26809894,120.8672291,
51,128.685693,86.04537794,129.183536,
52,122.4047488,85.14202337,96.22462262,
53,103.6591242,82.40395654,81.9367313,
54,64.7752811,110.3947044,72.41968318,5
55,88.1003283,98.8741722,98.9682083,
56,90.87532205,126.4840119,102.6780963,
57,107.2716459,114.0591487,142.472284,
58,102.7076495,47.20978738,128.9886784,
59,102.1081947,63.94370978,76.34784899,
60,102.3613432,68.10906137,66.80725343,
61,76.7453182,63.16475379,68.42075103,
62,81.82271631,67.83374981,72.45865369,6
63,74.11341776,70.72447235,69.85808146,
64,66.47759401,75.32445182,72.54385678,
65,74.92160818,69.73814832,74.95716295,
66,73.54735311,90.80073661,57.87149552,
67,66.51700515,85.89297533,104.3976878,r
68,91.09716996,77.65655282,146.6850284,
69,88.25607026,84.67483744,106.7839088,
70,86.9272455,108.7072202,94.77118385,
71,69.06236257,105.8698004,84.07890636,
72,88.08545913,92.53326107,84.22041509,
73,90.70213491,82.624829,95.60169855,
74,99.17677877,84.22516673,105.2494173,
75,99.18367539,81.80908501,92.06650372,
76,100.9142256,79.58853025,89.72220247,
77,102.0762339,85.4475525,89.72220247,
78,96.79586312,77.31692401,163.0994358,
79,92.50866834,91.1501942,131.4333485,
80,79.71034319,84.44053034,136.0545039,
81,86.05942541,83.81377039,121.6439862,
82,95.83815948,80.22727058,145.206823,
83,112.0285855,79.59122846,126.6909411,
84,92.57782999,79.59122846,132.8900905,
85,97.5911638,79.59122846,101.9567337,
86,91.7833134,149.1999482,120.7449988,
87,91.7833134,168.1994969,86.8630933,
88,100.4020872,153.7179809,120.0283018,
89,101.1618144,122.251824,105.2840236,
