,81.06.mp4,81.17.mp4,87.43.mp4,steps
0,140.4655371,135.889127,151.0428737,
1,80.46473679,160.6652795,108.7164514,
2,75.0908761,172.0809071,109.0715985,
3,68.30393484,172.5917614,158.221323,
4,103.3896128,163.9991899,157.6791853,
5,119.8737019,115.5622565,142.9085391,
6,119.2732135,149.4977411,143.4012929,
7,139.6515706,152.3012343,130.5437675,
8,138.1375093,143.9637996,152.2143072,
9,150.0904385,148.1448933,119.7826831,
10,149.6150883,152.1988048,88.07343824,
11,151.6572048,157.981956,158.9707809,1
12,107.3942207,157.0209474,157.1199944,
13,156.0906406,156.6445489,161.3797769,
14,156.5357396,156.0045951,161.8122314,
15,158.5995429,149.9459291,161.3847484,
16,158.0479387,140.7699568,155.8725188,
17,158.7531863,140.5263644,150.0989535,
18,159.0337976,141.5780444,141.7868672,
19,149.0989361,134.0928253,142.0573038,
20,160.6049292,126.055129,143.1741671,
21,149.870293,125.6883299,126.5810804,
22,138.7373713,122.8268254,129.6961931,2
23,132.6725956,144.2431756,128.4657141,
24,123.4760429,147.0748493,119.3873638,
25,124.7175614,154.1064379,123.4193813,
26,122.2910474,149.2687447,135.1774351,
27,140.528528,123.3969898,144.3890365,
28,148.2340064,146.3423591,154.3556821,
29,148.0727937,138.5792932,126.7603993,
30,149.6656325,136.2272022,118.3952835,
31,148.7453054,140.2637017,145.4079596,
32,127.2829809,139.1055251,130.6751759,
33,130.9118572,147.0833042,129.3874795,3
34,142.5299418,155.9993911,146.8337423,
35,144.0816039,160.7836131,146.7961436,
36,154.738847,156.9177936,156.8052697,
37,154.594996,149.9162256,158.9035033,
38,159.2655437,148.0210407,151.1571477,
39,160.3536663,150.5992788,151.791842,
40,147.4649387,143.3861363,151.2839741,
41,143.5696404,154.0426653,144.9710212,
42,141.119447,157.9082856,145.722666,4
43,134.9691763,159.3938027,153.7889163,
44,144.1631578,163.922031,143.9461113,
45,137.3698802,161.8725992,149.5003118,
46,141.4049882,164.5250727,158.3670407,
47,149.0467167,116.7979601,156.3442394,
48,147.9521345,130.7008481,150.4419387,
49,156.2426413,136.1890588,156.0487245,
50,144.2423662,138.0806384,151.6927823,
51,149.7099894,137.8450777,144.9925439,
52,153.9415813,137.0306905,137.6556081,
53,149.0301002,135.8157516,130.4065886,
54,138.8645779,163.6492777,132.0006982,5
55,140.680909,171.1776452,154.0823531,
56,149.392434,140.1960917,151.7245106,
57,136.3325689,175.6314761,168.2692257,
58,135.8684579,136.1243047,146.9479356,
59,164.7095953,135.1625932,126.5836611,
60,170.017593,137.8015262,124.1636532,
61,147.5514185,164.2949584,124.9456438,
62,125.3016295,163.6328943,147.0580278,6
63,125.4907681,171.1627665,156.1820369,
64,171.8613317,166.7980412,156.1785363,
65,164.0841622,143.8880442,147.3076329,
66,165.3166153,154.9134909,179.8340712,
67,164.6410561,142.7046719,92.34061241,r
68,148.0533253,145.9730005,58.37204708,
69,131.8697323,137.9035611,147.7701888,
70,106.4326602,156.4408004,159.7974177,
71,114.3584075,175.4842993,177.6538822,
72,156.8676217,19.74605807,145.5997271,
73,175.5158042,101.6741818,172.275372,
74,176.1505553,129.7640971,176.7697266,
75,171.0531999,106.755824,155.3571272,
76,148.3054253,112.3658232,166.1408395,
77,168.4127787,143.979809,166.1408395,
78,164.5906251,145.1217335,171.9746614,
79,157.4306643,178.5093877,134.3327505,
80,172.7668168,175.832697,27.78691056,
81,172.8067543,172.8190012,22.00464901,
82,150.1881104,177.9407512,54.40895329,
83,139.1473676,179.1956218,1.792867389,
84,159.4867578,179.1956218,6.732272475,
85,175.9814219,179.1956218,122.7031039,
86,169.1470955,109.5547813,123.6390325,
87,169.1470955,110.6928167,102.8422413,
88,156.2467084,160.9190295,171.8079848,
89,135.889127,151.0428737,175.6166417,
