,81.06.mp4,81.17.mp4,87.43.mp4,steps
0,172.5233048,12.51942933,39.64068297,
1,170.232808,166.2673616,150.4244887,
2,169.9488745,171.9531436,121.1449766,
3,162.3604867,171.2883672,170.0566892,
4,141.0159012,175.6135218,168.2417967,
5,135.2029308,156.5762189,147.5946461,
6,134.6029978,160.4512718,148.1972931,
7,146.8820329,169.1631165,158.1886254,
8,146.1407442,165.4457438,156.6036079,
9,156.4726518,170.1456839,167.2892653,
10,154.8780442,170.8034102,162.9362945,
11,166.778609,177.2579091,174.6407355,1
12,160.3350216,178.7272766,177.9388967,
13,172.3234331,177.8727206,178.4810662,
14,172.9415786,177.6777612,178.5505859,
15,176.4931902,177.1743809,178.0827075,
16,176.4430561,169.5493996,179.9669092,
17,179.1957534,169.0657104,175.0278106,
18,179.087674,160.4135381,169.0579863,
19,177.3263924,152.9353078,169.245912,
20,179.1496818,138.5206422,169.4744473,
21,167.8132913,137.9019226,157.2289262,
22,160.5424531,127.515054,159.7358453,2
23,157.8533792,146.4050441,154.1932724,
24,141.3581498,147.9686281,136.5753471,
25,142.899589,160.8743477,134.5037705,
26,139.4079739,161.4497907,135.3962059,
27,147.5091621,164.4873903,143.5325365,
28,152.3331227,163.5147045,159.7937286,
29,152.6725769,162.9756678,159.4652054,
30,159.3066238,158.8760905,162.2924941,
31,159.4415349,172.3060733,162.2673557,
32,161.8523981,171.5930265,152.7261303,
33,161.7342828,178.670815,149.9072,3
34,161.605557,170.4518284,177.834864,
35,169.9490475,169.5080101,177.8753447,
36,179.6084624,178.6781278,174.0623562,
37,177.702204,170.0186814,174.8167513,
38,175.5608641,168.7718154,172.7649825,
39,174.3399085,169.7365032,173.3701389,
40,170.1712641,159.163495,173.5279752,
41,169.1904823,162.9555174,165.6869814,
42,156.7249317,159.2438004,156.5507655,4
43,147.4306883,157.7966303,155.0085458,
44,152.0213447,158.9140069,143.7151,
45,143.9196391,158.1678387,142.4189216,
46,146.1969282,165.7041071,152.3819821,
47,147.9142977,165.8673133,152.3893071,
48,146.8193995,161.464603,148.0114295,
49,161.4114317,160.7380549,161.2275315,
50,149.9608631,154.6622874,164.8515842,
51,160.6617858,154.1692692,165.4382704,
52,164.9302648,155.0023539,156.3657537,
53,163.3132194,159.8480403,153.8207308,
54,154.431931,162.2135671,149.3406767,5
55,160.3768863,162.0284357,156.6225723,
56,161.9380071,175.1018605,155.6224548,
57,167.5667675,173.1195467,167.6249929,
58,166.5518293,175.2703802,177.7851137,
59,168.028361,166.633004,175.0299705,
60,169.4659911,169.7715933,177.1812151,
61,176.9478415,165.401306,171.579111,
62,178.1135506,166.2846074,175.9605372,6
63,177.6705691,166.6480079,172.196806,
64,174.6739909,168.2205501,175.7291094,
65,172.8096977,172.5488768,174.7014715,
66,169.1527189,157.7721745,172.598409,
67,169.2423016,159.8586439,131.2909885,r
68,178.2336557,168.1559495,89.91000821,
69,178.3099316,164.8445317,119.6316037,
70,175.6595098,138.7659006,156.4144031,
71,178.6893749,163.9215468,169.7897172,
72,160.7292347,171.3127009,46.66088485,
73,157.8673668,177.9642055,5.213122528,
74,157.8597983,90.76628306,13.85645245,
75,156.6634547,22.90879112,40.77109993,
76,135.3099858,46.29454744,32.53104527,
77,143.1284215,22.46181087,32.53104527,
78,115.2459344,11.14979441,71.25456861,
79,122.5347321,3.603823882,17.66962236,
80,67.32087287,21.22567182,24.97360853,
81,60.01313838,1.78458622,26.76234078,
82,49.22857381,7.487121591,3.123532562,
83,65.93022534,3.057448506,12.47988748,
84,92.58889764,3.057448506,6.696327317,
85,117.8991372,3.057448506,39.24836386,
86,72.15331025,74.69242503,1.8120939,
87,72.15331025,69.21305252,13.7158602,
88,10.67008547,56.90404887,11.54451664,
89,12.51942933,39.64068297,6.432539639,
