,89.13.mp4,89.75.mp4,90.34.mp4,90.61.mp4,steps
0,98.03768499,64.12579282,98.37566734,156.5993684,
1,78.72819782,73.79736936,72.83964094,85.12532088,
2,71.69224841,68.91357466,89.34567071,79.30667115,
3,78.24311763,71.22362679,71.5975453,89.02209649,
4,102.8201903,80.4914741,92.25210629,83.79558449,
5,111.74993,77.92823842,71.78318769,81.63665998,
6,102.9469387,16.28701771,61.18567108,67.81599496,
7,87.82950648,78.96359576,60.70597344,70.37397143,
8,1.559724198,76.70366456,60.93414932,87.71292843,
9,178.598317,34.53915387,84.792392,94.16798912,
10,65.33296934,50.05013889,100.1527375,87.25668595,
11,32.70999538,35.11356004,100.6123576,86.70287,1
12,64.01502191,92.14795344,97.26553844,21.0976337,
13,54.43391967,64.21834759,85.47281049,45.46830952,
14,160.9709738,43.46198948,81.52962718,76.1167865,
15,172.166919,72.40718266,61.02539508,34.6155613,
16,77.99263477,61.5128503,77.78161895,56.8815251,
17,65.25210082,110.8556722,142.8186725,54.42384886,
18,11.88276532,104.1163267,70.47388046,64.06100274,
19,13.67351799,62.4462827,77.11250438,40.40036663,
20,17.40483568,31.35293701,158.0958315,68.27837686,
21,43.10918272,116.1544233,109.6655835,57.44713032,
22,71.27003183,66.43838225,83.57083206,131.5958937,2
23,46.82276738,41.61064145,83.77329027,56.6954704,
24,111.5256393,12.13062132,144.3887306,58.97104151,
25,178.1882944,10.20763544,162.2479591,106.0726936,
26,152.7208134,19.25802637,178.4271776,82.83112724,
27,179.8691997,4.085113139,175.9809864,35.66658175,
28,4.134032906,6.637092456,172.6911078,36.18089305,
29,0.430363877,4.270589122,57.92000591,44.97648721,
30,14.33123244,54.36304102,63.89815046,93.74389416,
31,29.30402159,52.67048865,76.51743443,33.79392111,3
32,77.93010208,59.45208267,72.3243026,33.88239944,
33,13.42816287,174.4051073,123.5830484,11.06927052,
34,26.86081544,12.03313879,150.3653759,9.016394215,
35,47.58811069,4.486226608,163.8807075,14.17540389,
36,79.01796079,158.1778152,82.95441742,10.03457242,
37,67.30973134,66.61100629,35.10582102,27.70252424,
38,23.93661316,3.194476622,28.80422042,40.23726181,
39,53.54304053,42.97369225,37.18293924,88.2713203,4
40,22.79391682,25.39514012,26.03646424,38.71749964,
41,28.62647514,82.48061211,47.29690577,69.5694068,
42,97.92861148,110.7187057,69.99259862,73.192888,
43,89.24574983,150.2658283,84.22967882,87.52949675,
44,27.51927524,55.29490442,118.9172384,110.8490156,
45,35.69066995,142.0216063,12.42952538,104.9104517,
46,48.04862042,33.33126075,156.6073353,142.3597218,
47,62.83800199,10.81557476,156.8412026,60.41501682,
48,171.54224,14.14764114,166.5486166,83.04817879,
49,143.262841,13.24027928,140.3780766,164.9016289,
50,149.3613015,21.74533773,171.1493801,154.4482111,
51,21.70962696,146.296199,177.3354221,177.4741385,
52,64.91361855,171.9627323,112.0696622,179.1765614,5
53,82.77158254,165.7359722,172.497519,162.0754089,
54,106.7302598,31.09740767,157.4986239,135.4218198,
55,95.53925219,105.4862611,161.7626395,141.5167734,
56,105.7294812,47.24640126,179.3918517,145.5758334,
57,105.8489794,137.6624371,151.8190946,170.2452255,
58,140.363323,152.6947822,177.2064134,142.8722477,6
59,46.12357712,175.7391611,166.7224342,168.0487259,
60,93.37223434,108.0493477,146.2713362,41.03416164,
61,75.09207521,148.2156969,125.9283301,123.8388673,
62,89.50476134,164.2923394,125.9283301,107.3041341,
63,1.986341299,177.2697469,34.42292498,116.9830407,r
64,165.1029271,173.8909034,58.8932028,56.82143377,
65,149.2451903,179.4536804,159.9536817,114.8467903,
66,156.3493914,101.1909544,7.077831933,167.2631336,
67,160.4340951,169.1197581,164.6240215,155.6337549,
68,142.0973126,156.620248,121.8640508,63.81164603,
69,144.9417166,168.7261793,172.1029074,171.0610937,
70,143.3347802,162.5552548,125.0984574,168.6247072,
71,147.3143333,162.6053926,136.1571092,171.4237335,
72,141.2966504,142.730116,124.048641,168.7915273,
73,141.9322143,131.2993058,152.4316231,172.9823572,
74,139.6381003,170.7866409,160.987511,170.7878642,
75,124.3843162,162.1716186,154.3112837,170.7878642,
76,123.3122166,158.4329877,131.5248791,163.00429,
77,156.7565529,178.6979731,167.5796109,163.00429,
78,170.7532161,173.6767475,94.69690744,177.8264987,
79,165.6754016,159.1250616,179.8973995,172.379604,
80,164.3665972,159.1250616,173.2196961,166.4561451,
81,171.9526,173.7055304,129.6359619,151.0265445,
82,170.788698,168.9382646,173.7542782,155.1272766,
83,170.9168985,176.8064583,175.5901694,152.4605912,
84,155.672632,167.0326065,175.5901694,147.6782037,
85,130.9244341,158.9427829,153.4180321,141.3782862,
86,137.4201105,154.6776939,154.2444243,129.2033456,
87,104.4358835,117.2705519,155.8499463,127.2159237,
88,72.90345359,123.8673701,149.2467334,109.7704642,
89,64.12579282,98.37566734,156.5993684,91.47101779,
