right_hip,left_hip,right_knee,left_knee,left_trunk,right_trunk,elbow,shoulder,height,weight,distance
90.4754622,93.88355015,142.5835496,155.4076101,165.1358068,166.7380153,119.1807681,32.09481465,1.95,108,86.14
75.7680159,112.5353355,140.0737337,156.1978681,161.0561794,165.193248,124.0669786,49.70490935,1.95,108,87.55
105.3538359,103.49823,146.5676878,163.0206034,172.3939771,158.477815,101.3332717,39.11988019,1.95,108,87.84
74.20067604,94.36634449,174.6105419,174.3655312,172.6638836,179.3397816,80.58670212,38.97990469,1.95,108,89.82
15.06001973,177.4727906,137.9896484,154.4404376,162.1644428,158.9441457,136.8397752,79.99246961,1.95,108,91.44
69.73423027,58.87355762,144.450473,163.6800387,168.5628229,153.9504503,158.6234879,85.93805292,1.95,108,92.06
59.12324828,117.3845816,141.119447,146.9345028,148.2792723,156.7249317,169.7921914,55.59197713,1.82,86,81.06
78.23276407,89.78713644,157.9082856,140.5682983,156.1917675,159.2438004,173.7666829,61.08583246,1.82,86,81.17
71.26017083,98.14810277,145.722666,150.9246992,154.0834387,156.5507655,170.5391859,61.70649227,1.82,86,87.43
83.7351018,108.9256521,165.4187859,142.5958421,144.3889254,159.4356965,53.54304053,17.46252291,1.92,87,89.13
82.20680326,104.664033,172.2074642,151.8407744,153.9140758,167.7530369,42.97369225,62.75896841,1.92,87,89.75
88.45442912,98.31534317,166.198773,153.3033919,156.6884352,170.036704,37.18293924,47.24618522,1.92,87,90.34
84.29640712,103.4748436,168.9476116,149.3726125,153.6486239,165.6414865,88.2713203,36.29614827,1.92,87,90.61
6.38477539,72.36111285,108.1748971,167.5265775,167.2058947,106.565386,173.8402666,91.16167338,1.88,103,82.25
115.1883462,77.78339719,150.6704025,164.9583164,162.8972089,152.4278906,178.3975471,3.349258987,1.88,103,82.52
7.051698083,84.55490181,104.1395185,173.5820001,174.6304784,112.4862627,164.837387,80.12644166,1.88,103,87.22
63.29891187,63.20067273,159.4808896,168.1039998,164.4536099,154.1456509,159.2085713,78.01331864,1.88,103,87.71
58.67257326,58.1129681,143.9935743,154.8522698,167.9944892,141.1472726,167.1309789,82.58869723,1.88,103,89.78
110.5964248,83.22692339,152.4519206,166.7503254,167.9392002,154.8631805,3.330529325,12.11641258,1.88,103,93.59
42.53083836,153.5139791,143.4324166,148.6794811,157.1839281,156.3378971,158.598479,55.65990962,1.88,103,94.24
126.3720841,104.6078274,137.9106179,165.8955011,173.3849901,143.0684323,170.4829702,58.27552047,1.88,103,96.29
104.1309012,111.3994725,153.9105465,144.9415587,140.2520397,174.8414822,153.0652336,61.19267233,1.91,90,82.94
95.22108738,123.9773153,151.4736139,138.7463296,131.1807696,179.3794989,135.3010934,46.62659703,1.91,90,85.52
99.44627373,106.485681,139.3956646,153.2974578,150.0622153,171.9183693,167.1171759,80.96334079,1.91,90,85.97
95.89434454,59.19186166,173.2910818,157.7178364,170.0929265,178.4292791,165.9134444,83.42511926,1.91,90,86.14
91.83809523,107.4530929,150.5262898,166.7200219,164.0439878,160.6539195,174.9228076,80.13536025,1.91,90,86.4
67.12477763,83.04517917,176.0577099,162.8819675,168.6274177,175.9137199,175.6933401,87.9811351,1.91,90,87.08
119.4473455,102.694342,156.5116919,138.6513022,135.9707894,173.4405923,149.9791864,62.46905049,1.91,90,88.12
74.13168993,70.47613375,173.7342108,165.7157339,163.4102859,175.8797314,165.4866071,83.24068811,1.91,90,88.26
113.4703342,98.56912029,147.9321644,144.844725,139.8371868,179.3420007,154.1644551,62.14646955,1.91,90,93.9
