,82.94.mp4,85.52.mp4,85.97.mp4,86.14.mp4,86.40.mp4,87.08.mp4,88.12.mp4,88.26.mp4,93.90.mp4,steps
0,170.772415,169.859271,163.0611445,149.8304926,141.279046,128.5791105,155.9895299,102.7395716,177.752804,
1,165.8301744,164.8956112,98.17520672,152.8610529,154.5233847,129.0781759,155.9895299,102.7395716,177.752804,
2,167.2409412,158.9477518,155.5744524,157.6546652,148.1795543,124.0615911,156.5607302,150.7280704,164.617765,
3,172.1084677,163.3514796,159.5198885,79.1739398,157.7704133,145.1172117,83.86205509,159.8760372,171.1042245,
4,156.6523824,169.9394381,176.2282782,171.9850559,168.8051806,147.3506806,124.9317314,171.2553096,174.4224995,
5,170.4617077,125.5614872,163.5528728,142.8789663,141.2020116,80.00546328,119.1840378,133.2531488,165.2324615,
6,120.4420994,152.2763279,98.15474622,101.584551,147.6157316,87.14152043,119.0869503,85.02420694,154.8470896,
7,95.19904869,153.3400413,108.7013371,102.5408989,158.1462371,91.40604182,140.5958643,83.12398637,131.7908842,
8,92.12472471,69.01140492,60.59550429,103.1214492,76.03199528,113.115,145.2110678,63.59027584,73.11620008,
9,127.2599409,169.6405459,56.93561477,77.86905562,80.64417151,104.1307845,73.0977953,68.28319523,69.57738394,
10,102.442302,119.1923137,83.14861981,84.37265719,98.34893769,80.18434741,85.11204555,82.90500612,92.76484694,
11,147.9573649,112.6451104,91.04183866,89.52762188,102.8299738,92.65625722,152.1247237,80.89832789,111.8641185,
12,172.0990035,158.1742663,115.7734407,108.8418947,113.3033579,98.4150322,134.0750048,96.33722661,131.7672795,
13,162.9177301,168.2477874,115.8706982,107.8621371,112.5308704,99.39975791,134.4470085,97.76408303,135.9627629,1
14,165.5824777,158.6149477,128.9214111,127.1267332,135.5780871,103.5551755,160.3781842,116.0748166,145.1094953,
15,165.4248773,163.654083,143.8573057,151.1128557,149.7807718,127.4742735,157.0537487,143.5252846,165.855705,
16,164.7767445,166.0747399,147.7163263,155.4975126,152.6078551,141.2301323,163.5441125,160.1952228,153.8400411,
17,158.9445035,158.0096409,140.6332031,152.8211128,158.1240151,145.3590215,144.3615316,156.3160097,146.167655,
18,154.764195,147.9080098,133.7347623,149.2181101,154.667152,148.2790256,152.1890718,155.5539262,148.109289,
19,133.1575673,134.8689934,137.5765804,150.0458251,156.0678141,146.783149,155.9278761,156.1698553,138.1177624,
20,162.3877209,165.2135066,150.5449047,148.1267176,159.0677102,155.8131673,159.0853204,158.2109177,137.5295956,2
21,121.1878982,140.2000228,150.4339865,159.8913854,136.9726475,158.3776429,162.4775432,162.8832528,168.1148022,
