,82.94.mp4,85.52.mp4,85.97.mp4,86.14.mp4,86.40.mp4,87.08.mp4,88.12.mp4,88.26.mp4,93.90.mp4,steps
0,89.5313343,118.3914471,19.06524397,18.32034815,138.8792938,140.6522067,8.994654683,156.972296,44.52804663,
1,105.3901777,146.2673278,67.31825343,94.50633486,131.503003,117.7736521,8.994654683,156.972296,44.52804663,
2,103.9528215,123.7477594,96.21225533,101.7414677,125.7108117,103.396961,100.8739369,124.836555,18.30183456,
3,95.40879649,73.31793463,97.78541733,88.43138828,123.7583193,89.7020932,114.9017128,0.11916585,97.27267184,
4,10.99548978,47.66184426,7.724462131,59.93783837,112.9691855,102.805,0.706731158,1.650770171,72.32737435,
5,15.41479537,22.13393185,3.783339621,17.36304003,78.70732201,97.03724403,4.511960122,0.824420036,11.42910955,
6,0.471045028,9.979445714,13.99354051,68.6323367,106.8998792,57.86245664,7.446625646,73.95441443,5.150808481,
7,8.009875485,0.979954156,22.9452411,67.71695083,107.4521289,36.22716307,14.02747184,82.50528645,27.43989239,
8,6.468136742,19.55230506,5.717104908,53.77794538,89.02554123,4.911563289,18.56366697,75.71417508,14.07543672,
9,12.14682654,88.77114313,9.880928408,95.08069824,89.58821499,115.3370835,0.793347275,92.83093595,13.39317299,
10,15.63166509,7.908374574,68.95497823,89.24155476,91.57060162,103.9482433,0.936249909,97.15421832,51.26958848,
11,0.055606544,3.768468879,99.59022956,108.2700508,92.28091389,98.35604826,17.56021225,96.85608126,10.06108578,
12,3.390759275,9.157763826,101.1903857,96.44213229,92.20218945,103.047825,12.58323468,93.53904619,28.86810937,
13,22.63724454,16.72091677,101.2049556,100.6834868,90.59233693,101.6041874,13.59048979,93.64880023,9.258337024,1
14,28.95751792,13.32309721,102.2707008,90.962338,91.16796152,98.00195665,17.45568817,86.4249709,10.63185014,
15,2.85293697,19.47422156,92.46182156,83.24572909,87.70737397,89.13111998,18.61282943,87.7956522,15.12486722,
16,65.87945424,19.22689191,97.90497556,89.17189263,82.18167565,88.69897197,84.29089635,86.83127399,16.4763956,
17,60.60549051,103.9658987,94.10474064,91.01544088,86.32040153,89.42494569,96.76462695,88.13353186,10.36427787,
18,7.22642769,117.8224564,100.1867325,91.64298498,91.35472169,96.63844176,96.86887141,88.47116947,16.20630468,
19,64.65533685,100.1368649,100.9087676,99.48988914,94.68565175,99.03311312,99.65676671,88.80203394,45.33873878,
20,72.24707984,90.8650931,100.3604991,105.5272593,91.35565378,100.7346909,110.2168429,86.32478035,25.42976564,2
21,44.00097322,7.979701612,99.40811992,102.8913819,87.25113477,97.67084077,89.94186561,87.60050217,45.23042129,
22,57.44265171,65.95257732,83.88914107,104.8034737,79.79148232,93.15079453,86.52178757,84.57216214,78.68186951,
23,71.22874165,93.47643498,88.44345759,103.3879,79.8132141,90.11348923,86.14697884,87.29552002,61.1316632,
24,56.78843768,52.56421832,86.61519496,101.5877614,78.38349446,83.19402803,74.46176553,85.77169745,68.34910521,
