,89.13.mp4,89.75.mp4,90.34.mp4,90.61.mp4,steps
0,90.18343282,52.6151974,8.363665059,126.3708058,
1,78.33473765,68.4468151,78.56601519,76.00597365,
2,71.4046812,58.50973634,63.38006756,57.11126922,
3,70.72667495,57.29439189,66.00209492,72.76480928,
4,71.97732926,54.74932483,73.82597082,84.81754055,
5,79.43336869,59.04221348,81.32618282,83.01834448,
6,81.47196189,73.34807722,78.18508867,85.05698395,
7,83.25788464,89.18691344,80.0003184,86.59361019,
8,91.44693637,89.73960382,79.33308495,91.48400534,
9,89.6681536,87.85658669,94.96786895,99.40952479,
10,102.8348592,106.3112669,104.4335486,101.8511826,
11,117.2546368,105.2565322,102.5526638,112.2428731,1
12,117.1020556,118.9974405,115.5940974,118.0939716,
13,113.4147877,125.4593848,119.5175137,119.5488994,
14,113.1781316,125.7314298,115.6884006,120.169353,
15,112.2308581,120.5900741,114.3970968,113.8826617,
16,114.3136416,120.584523,114.9861493,113.4033974,
17,113.8713632,119.3842244,109.455512,107.9199293,
18,113.3546699,118.7750952,101.5983681,108.1210551,
19,106.0313801,108.0251897,98.97952458,107.0119681,
20,106.1823476,109.2367278,96.75260732,101.8143245,
21,99.83729229,102.1258188,95.3151435,92.48668063,
22,96.9121457,90.48575016,91.05020847,91.62069188,2
23,98.16537308,87.39929524,95.55146799,92.8329282,
24,90.93906549,88.68751048,95.49790849,92.06600437,
25,95.24598905,93.39050522,98.22818108,102.2790293,
26,96.35958118,94.29135999,97.05302126,95.34141934,
27,95.72372529,95.10069094,99.08611629,96.42238443,
28,99.03670561,100.1680599,94.64481976,100.8688322,
29,96.19671921,97.35627703,101.3699692,96.67634359,
30,116.1466034,111.8821193,115.3597698,111.1523674,
31,116.0367807,123.9947677,112.6201063,115.5732899,3
32,113.9500239,125.8196633,112.7848821,115.7548985,
33,114.8264797,121.9262819,114.9795877,112.2855806,
34,120.3672718,123.4734247,109.3276185,111.4824448,
35,116.593512,121.6239603,107.6074758,114.0203718,
36,112.9496419,122.8105934,112.4710527,111.5751002,
37,115.2678538,112.7223213,108.8159383,106.5324897,
38,115.9813266,110.3923978,96.93754003,103.8477635,
39,108.9256521,104.664033,98.31534317,103.4748436,4
40,107.7729958,109.1649033,104.1375298,110.0548093,
41,108.5325843,103.3989044,101.5836031,104.9981109,
42,114.9303498,113.4547439,115.0229183,109.4476635,
43,112.6828024,105.3503214,141.6169125,103.0487489,
44,100.0657476,98.24383271,106.4892093,98.58803763,
45,105.0130226,97.78764959,98.64839655,99.09321401,
46,103.4740714,101.8505974,112.0702201,101.0294248,
47,106.2750973,100.9602871,115.6347792,109.1909214,
48,124.2311526,104.5202513,109.2828626,107.4914219,
49,126.4634956,115.0512949,105.6218584,111.3644914,
50,135.324234,115.0342969,121.6117591,118.44234,
51,130.1375902,124.2836435,118.5623862,127.6649109,
52,132.0013734,131.851677,121.7945629,127.284242,5
53,132.8491526,131.5742867,128.4238778,128.9679811,
54,128.623365,131.4518909,128.6464848,129.1985848,
55,121.8772447,128.1379067,126.7609979,122.1365222,
56,116.291473,128.6485027,126.39242,119.0390781,
57,113.8890432,129.6664956,125.330881,106.2088059,
58,111.9558561,124.324823,120.076187,112.0868318,6
59,110.8831758,119.224676,118.044127,92.32844128,
60,109.6454356,124.3078216,111.4270315,111.7258406,
61,124.23853,110.3222942,150.9056734,94.84184739,
62,86.43668486,118.6636559,150.9056734,116.1433038,
63,89.81194418,92.26609309,85.79278093,125.4654055,r
64,163.6937292,138.5390953,80.32262157,169.8028126,
65,126.4740269,145.8276897,122.5922813,120.8174424,
66,157.6927451,157.7786857,160.7906236,95.27265661,
67,129.5189739,124.4061991,153.5441309,121.3342149,
68,145.9895836,169.2414813,91.24839858,126.680859,
69,165.8060798,138.0797815,129.7240815,132.5831279,
70,163.9204284,169.6555214,141.5981955,135.1020765,
71,177.4775066,103.0668464,132.1869139,142.5388857,
72,177.5864252,130.6601973,134.5435416,106.2263019,
73,147.2072721,131.7560421,155.5827791,135.4517375,
74,151.4947965,137.2940135,117.8759433,134.4607746,
75,149.7438488,122.5059145,129.9374684,134.4607746,
76,153.0711261,130.6916076,126.9605115,112.2893437,
77,144.6626927,118.3838456,132.0252981,112.2893437,
78,162.0271408,124.2549041,106.6252618,138.8781424,
79,179.0665725,102.8484007,126.2845467,132.8515768,
80,152.7475715,102.8484007,112.4033243,137.6359213,
81,175.4453516,113.1174732,111.1460389,20.54337231,
82,155.4212528,111.6296245,73.04984653,6.44040027,
83,127.5866348,109.2404593,87.9663849,44.01165906,
84,101.4093038,101.3567535,87.9663849,1.128862392,
85,71.22894779,82.82224149,88.50354312,19.20688592,
86,68.93774888,23.81680888,121.8730858,15.47697102,
87,56.90594038,18.56391442,114.0286064,22.71478746,
88,52.85971642,14.75509343,121.425033,6.368941223,
89,52.6151974,8.363665059,126.3708058,42.21728123,
