,82.25.mp4,82.52.mp4,87.22.mp4,87.71.mp4,89.78.mp4,93.59.mp4,94.24.mp4,96.29.mp4,steps
0,149.2285936,1.450165452,161.3881917,145.3644836,129.2819934,175.3865704,158.1351054,174.3556438,
1,174.8905743,131.923347,177.9119098,112.9558003,143.9454974,17.83470446,158.1351054,176.5388827,
2,86.50578298,128.8576157,165.9020762,122.4739356,175.2163817,90.94607688,163.4350323,170.0137784,
3,120.6122774,176.006985,177.9878333,53.48959639,174.5064012,108.6623762,177.8567802,170.8604589,
4,119.616198,155.9587822,172.9696705,132.0587473,170.4643191,117.2416102,168.934617,169.4778372,
5,172.7814146,173.3590813,172.4394568,162.7465458,169.4212843,133.6372522,155.8329593,119.101836,
6,172.1157022,168.780725,149.4377185,164.1603354,110.6815894,167.5433259,156.8564486,132.4566945,
7,168.2727697,169.2840199,169.4246452,159.0092765,172.0987675,172.5474673,146.2046827,126.8660696,
8,89.47906093,161.9537406,175.0561665,156.0536477,144.9343353,161.042834,130.871332,111.0386263,
9,176.0837637,176.8657713,166.367569,170.2405384,167.4026515,115.4109785,125.7143388,125.4928536,
10,170.3276809,175.58458,160.1866464,119.0723388,165.2104406,120.9467953,151.7223043,160.2902242,1
11,113.6513371,173.3752186,175.7687295,161.910801,164.3101902,111.9192503,156.7885489,126.7468829,
12,142.6781003,178.6369857,111.3851921,163.5631152,164.4275715,168.0293685,121.8281587,113.5602925,
13,107.1446595,171.8509575,109.1576861,155.5264608,171.8769737,173.5109872,121.2539013,126.2477759,
14,152.4208198,177.6183915,174.063097,155.9803985,169.143388,175.3950631,140.1890159,127.4176048,
15,163.2465763,103.3463815,156.8089538,157.8059913,173.4019398,177.2669958,149.5714809,127.7093149,
16,158.547007,117.2692495,151.5208815,144.9892518,170.9513371,174.6736601,138.1509814,128.6709922,
17,140.2992796,159.8554014,156.2506553,153.2989295,168.3462844,178.2178607,131.821842,142.9293643,
18,177.3306866,179.9085743,158.6446075,178.60022,173.0421152,102.7214694,151.1133584,136.7340007,
19,163.8299505,167.8200844,161.3264835,169.0061958,171.8005069,123.070212,152.758658,142.3284617,2
20,164.6931445,165.4013786,164.6834088,168.112899,174.8198214,165.1626707,153.1996056,138.8922986,
21,161.2599989,166.1780133,148.4720012,166.1299214,178.5633069,150.2240637,140.0725241,142.754423,
22,159.7879278,166.0584638,144.3050457,152.0405695,171.550908,152.76913,142.9012941,146.8591564,
23,158.4002627,166.4558209,155.0538583,145.4849329,162.1469613,177.6489291,153.5276999,146.6224667,
24,155.9958141,165.4754889,152.4960658,144.9358805,162.0240195,177.825294,150.6586902,138.283189,
25,157.4128794,161.3524829,163.6919298,147.2575157,146.928537,179.7497365,150.1876384,148.6659008,
26,156.747006,166.1055414,160.5809717,150.1203743,170.1319641,167.8898483,148.5136949,147.3756552,
27,151.9856407,179.8731611,155.1527499,170.5623497,167.2843726,173.0106567,152.7014352,165.1011462,
28,155.9987671,159.1423415,160.6766388,177.2410309,169.3445511,153.1032072,155.2904555,155.3458611,
29,158.2566967,163.304819,159.4166666,169.5825818,173.2240894,91.71314907,158.5550756,152.4282418,3
30,165.6110902,177.8685089,160.2949855,170.3354534,173.5772188,140.8862379,151.759313,148.6876337,
31,167.5282425,178.487288,168.1533717,164.123796,173.1106946,179.8265437,147.3748789,152.4107544,
32,155.6457619,178.684344,155.6840907,167.5810739,169.3565862,2.900920065,147.6795298,151.3252596,
33,165.2822774,174.245064,156.7771964,168.3124977,179.2845628,68.0071268,162.0383658,147.4013247,
34,155.1361607,171.0988737,163.3346535,168.8377229,176.9617282,176.4071665,157.6741976,150.721511,
35,163.7855501,173.5799808,163.1048684,178.3885271,169.7596227,22.97444971,163.7195077,157.4437097,
36,167.3027363,173.3999804,162.2574753,168.4109004,177.3763176,14.01657316,157.6412323,161.7892013,
37,173.8402666,178.3975471,164.837387,159.2085713,167.1309789,3.330529325,158.598479,170.4829702,4
38,175.3983525,160.6784107,166.2591309,159.03489,169.3367512,106.9346244,168.2230094,166.3831003,
39,170.9535033,141.7237405,171.5009241,169.0649966,173.270405,176.5773763,151.6949481,154.9796736,
40,158.8892755,144.2459054,155.8571421,154.8516197,172.6302907,57.10756948,168.1312352,161.4355868,
41,162.5451509,168.5944098,157.7213987,159.9066699,165.9947938,77.26206489,164.1474888,156.3177316,
42,152.0747958,168.9314986,169.8707541,176.1746875,168.6456472,115.0995671,160.8998972,156.4253427,
43,162.8700161,160.9111314,154.2957627,154.7780958,164.8090139,159.8795155,151.9191708,163.0042458,
44,169.7841409,172.2844029,166.5264328,165.8764024,160.6866819,145.1697019,145.935055,166.7472276,
45,168.7443975,170.001887,173.3530006,154.3273851,154.3647757,159.1156198,155.8936893,163.8866303,
46,164.2345997,178.6309255,170.2045011,153.7643313,159.0777224,134.9722139,163.6193428,157.5079547,
47,162.1293234,159.7197474,177.0872135,150.7421799,175.3352461,84.2211167,158.7716595,157.0498429,5
48,172.8770513,21.96828528,150.3201574,136.2336451,165.6295518,31.0357467,153.2507225,155.9511768,
49,117.82753,159.8814567,166.7180445,140.6692792,146.8726467,2.063815205,157.8559672,148.6304181,
50,161.5498702,6.633037218,163.0464406,145.4146886,173.1122676,1.780068283,123.3979172,152.9983919,
51,170.9862105,17.57499348,137.4286178,163.2428988,132.0446154,25.22089348,111.0294522,169.8305581,
52,166.9191886,20.02493359,126.1549292,123.3607596,126.7137519,16.2620996,168.5823525,72.6680261,
53,55.69316153,156.8333594,28.56030191,173.623753,152.2807606,41.29476179,61.2531084,142.5333957,
54,132.5639046,156.0900546,166.7088241,165.416958,150.9544043,18.3492706,174.1161314,137.4047275,6
55,161.048784,64.26410985,91.73535888,161.8235963,147.3942567,66.88662001,166.9872744,134.5198568,
56,135.8073688,82.87963981,172.7500853,174.6388846,137.5001119,93.25671079,160.5067687,177.9124638,
57,121.624534,178.2836048,170.0751768,136.3697893,88.32945078,93.25671079,157.4731234,143.6717339,r
58,18.70009232,66.56954601,131.4895741,116.3862612,123.3036986,133.4141335,108.7651664,144.0326155,
59,154.7573685,168.1149122,149.58886,131.2981965,156.6621497,133.4141335,5.80915538,175.8668941,
60,143.8408593,135.9368957,164.571231,121.4604278,142.4841143,146.0435838,178.0025152,178.321075,
61,170.0222835,156.6929798,146.1665234,146.3500605,165.2074874,159.5915859,179.3341162,175.2475995,
62,154.292619,168.1078579,158.2939537,154.0196137,174.4187537,159.5915859,177.881853,178.3451787,
63,178.3864031,169.6840098,169.0050205,152.2326708,174.4187537,165.9607839,173.3947109,173.6887618,
64,176.6875857,166.9038522,170.4591895,146.5889151,161.5945934,163.8431105,179.8958867,179.035662,
65,172.7114706,168.8004621,169.7853919,153.3620928,164.4782711,161.0293983,156.8758568,179.035662,
66,158.8363434,170.1840148,171.9746938,126.8757509,157.146964,163.6322147,156.8758568,168.9694366,
67,177.8369906,174.7015282,168.6290762,133.962959,162.1741021,166.1195181,156.8758568,168.9694366,
68,141.3800115,171.1579509,147.4132657,118.599911,155.9527929,156.8811825,156.8758568,173.8641847,
69,126.7012113,153.1861968,164.9096319,152.5834502,123.5445704,171.3432542,156.8758568,164.796264,
70,164.1353661,126.8962296,175.29152,130.6616764,122.618395,165.7019259,163.9758378,134.0086085,
71,157.1087523,107.4282309,171.5860137,162.812057,143.5067495,171.6674881,163.9758378,172.9870631,
72,140.9371375,101.7250919,147.7254143,174.7674516,147.5249148,166.0440274,23.13101239,100.4423346,
73,108.9395512,87.32190511,130.2418854,167.9147078,108.4924654,158.9502589,13.09467842,129.3840386,
74,98.83782815,83.17754379,96.90621756,135.7822842,94.39819528,145.9497847,128.6370326,130.6927873,
75,94.23603592,71.21127241,81.94899654,142.7127873,67.2335531,79.28602883,174.4997255,152.1162178,
76,75.99620693,57.62541794,66.92116167,124.7013494,75.2253006,156.693173,90.67409693,124.5718761,
77,65.34216176,67.36723369,57.42377429,131.8259896,66.55822821,160.7376149,148.2047126,129.6382879,
78,57.95739315,29.91406949,57.42377429,149.4187932,56.29359498,141.8946663,108.9705362,124.1473966,
79,52.52844738,80.61922307,57.42377429,161.0738045,78.16800283,5.507112336,127.1475736,142.8061068,
80,35.16528203,82.66613207,57.42377429,155.0744166,97.81277279,41.37564611,164.5456875,144.7283769,
81,42.70745113,84.87769004,57.42377429,176.5177029,102.0901711,174.2970604,164.0883477,158.3771942,
82,32.65492974,89.3543528,57.42377429,171.0170991,103.3699803,161.293085,166.2593034,146.7527767,
83,17.46458308,103.19815,57.42377429,170.9994026,119.3888534,158.9088655,174.0068753,151.7484188,
84,0.872713174,103.19815,57.42377429,170.5796966,131.260837,158.6185672,177.6991973,154.6027367,
85,8.282998153,116.1809991,57.42377429,161.0182617,143.6470541,160.6447123,177.3207436,160.0153942,
