,82.25.mp4,82.52.mp4,87.22.mp4,87.71.mp4,89.78.mp4,93.59.mp4,94.24.mp4,96.29.mp4,steps
0,172.5338071,85.6309887,12.16430213,164.2131347,172.8247506,42.23789809,174.6455849,25.66371847,
1,171.3261808,178.2379589,172.3159311,165.5617155,169.3939337,174.755997,174.6455849,169.5072809,
2,169.3426566,179.6038829,173.0560253,168.8007159,167.5226362,176.1012162,169.9078021,170.8439842,
3,168.3401052,174.0967294,167.2369788,169.0008272,161.3362696,172.3934262,170.3492615,171.5198521,
4,150.2735108,179.2808918,167.1887848,151.4638875,159.6460234,165.3204252,172.0885371,163.8802041,
5,119.6589005,179.8788766,139.6622955,107.4025308,124.2819036,166.5985723,160.9746753,137.0015374,
6,92.39672367,168.4627113,104.2084376,94.46400091,91.1552158,168.0326902,141.3066103,119.4362085,
7,108.2765516,158.0775807,132.0606067,107.6378804,101.6065726,165.3538867,140.016534,124.907761,
8,122.064302,154.888246,121.8574707,108.5369083,142.8347108,169.6343607,131.4196423,125.148391,
9,123.3858018,153.2238199,138.8643954,123.2082247,124.8498964,159.9366952,130.5494423,138.4382393,
10,119.6204357,144.9798444,140.7873715,122.5535004,126.9661708,161.8872062,142.3230045,141.5891286,1
11,135.0281782,157.9470598,136.3304839,134.9507904,126.3114775,153.7623225,134.161774,141.3794823,
12,146.2679178,162.9629552,141.5824967,146.4185231,140.7933227,162.8053372,137.6229036,155.6914097,
13,157.1698104,160.3932077,149.894446,161.7513152,153.6484889,162.6107786,137.292025,165.2047811,
14,164.0943755,160.1379497,163.2974351,161.9252058,163.4036353,162.6229951,146.7471891,164.8707124,
15,163.4754733,162.4335732,164.0102869,165.8527925,159.7448642,163.7877259,158.0078178,169.6072876,
16,160.6661293,165.1347261,165.8934617,158.7824292,160.5055068,171.3523828,167.7406955,154.3272482,
17,157.5258544,164.1216411,159.2139173,153.2262105,157.4301625,170.6519997,157.5733175,152.9216062,
