,81.06.mp4,81.17.mp4,87.43.mp4,steps
0,168.2313009,87.84200015,96.61907564,
1,167.5389744,163.6544724,176.3436375,
2,166.97606,147.6993335,179.6221973,
3,175.0304399,147.1689722,156.714295,
4,179.9733179,150.9137403,156.3478416,
5,174.8911423,149.5428138,163.92783,
6,174.8725776,98.89210739,163.5707869,
7,161.4921812,47.98292105,152.1679434,
8,159.8767801,115.8974264,110.5967668,
9,93.37963424,105.5630155,143.9308258,
10,98.37340192,113.2719653,147.8300649,
11,100.5720393,118.0721941,109.9324959,1
12,145.9978992,120.6415286,114.175493,
13,113.393653,149.1480574,115.3289351,
14,116.0191117,148.4706294,126.8217557,
15,115.8794308,157.5701218,124.4164526,
16,113.3415836,156.7522031,140.4355932,
17,138.1425992,155.9933472,152.0398779,
18,136.3533752,151.3438554,156.2188849,
19,158.0085764,149.4825419,157.1083771,
20,154.1999937,158.7011455,156.5778798,
21,146.7553147,159.5185437,149.707114,
22,150.5070887,161.2437265,150.6832261,2
23,156.3270308,151.0188913,153.7553561,
24,156.1287878,140.487217,157.2545975,
25,155.5821024,118.1694963,158.2423382,
26,155.2557934,110.193341,152.0341381,
27,152.2583676,154.9222674,133.1690921,
28,136.4831312,117.3075291,120.6763014,
29,136.3543382,127.1415151,158.64693,
30,121.6176714,125.5037333,160.6080669,
31,121.6954969,144.6576459,113.8950269,
32,147.5009448,144.7588331,116.8735559,
33,146.8987302,154.9055696,116.8176176,3
34,127.9003225,162.9003679,145.944108,
35,142.173956,160.5027066,146.7433819,
36,157.4170169,149.4191993,157.843396,
37,158.9466462,144.4502693,158.5430312,
38,161.2031154,144.6587011,154.4513215,
39,160.4809183,144.336367,154.3394603,
40,153.9746873,147.7009564,153.66523,
41,154.5848207,151.7055843,153.6779867,
42,146.9345028,140.5682983,150.9246992,4
43,152.8848069,148.6835866,151.7972067,
44,153.043757,134.1277874,167.256682,
45,168.0499558,126.7664712,141.6293811,
46,168.2035385,124.4811318,135.1256777,
47,157.0648089,167.6456427,135.6338368,
48,157.7402761,153.6101691,136.1887523,
49,134.7792817,149.9845593,130.8266976,
50,125.8159611,144.8323458,129.8527916,
51,126.828368,144.2286244,142.7512288,
52,127.5485372,151.4857527,149.9715208,
53,138.0606396,160.7844231,149.0593891,
54,149.0071827,129.6411007,148.2998076,5
55,161.5247718,122.1655784,142.3566357,
56,153.3175868,170.6856257,140.1523774,
57,179.9746116,134.9522877,129.8885902,
58,178.3316235,165.9709124,170.1371097,
59,128.1585986,162.4059289,169.9063615,
60,128.2610916,160.3118877,168.5930603,
61,178.2631984,173.0425553,163.8489751,
62,159.8842041,174.0402145,175.5897918,6
63,153.109513,150.7951581,171.5819758,
64,175.248912,165.9188439,164.3475427,
65,176.9772785,172.8445576,171.127475,
66,173.9592235,177.3926049,177.5915572,
67,174.5060578,176.0536024,176.495279,r
68,178.5795901,178.7920956,178.2238062,
69,174.0340045,179.9281232,175.2431749,
70,172.4172742,169.5272354,174.4589464,
71,173.4796855,175.790226,169.6144181,
72,179.7949908,139.1756114,148.4503651,
73,178.434706,160.4846314,84.95361334,
74,179.3080446,174.164917,78.08274957,
75,179.6564546,50.05542107,81.46667117,
76,176.5404289,50.04629004,134.5467797,
77,155.2914738,141.5286381,134.5467797,
78,168.7714481,175.5558059,160.4417296,
79,153.5143288,32.8431249,93.70126915,
80,179.2040549,179.0519599,7.26452465,
81,179.7483295,11.70600861,14.84948174,
82,178.9262817,162.0932801,67.92005083,
83,176.7970881,176.8077716,55.79228982,
84,175.2863641,176.8077716,56.11357274,
85,171.50768,176.8077716,128.6519051,
86,172.3249085,15.38060169,0.133050181,
87,172.3249085,97.80502816,92.95222163,
88,102.3539829,124.7288852,39.44450353,
89,87.84200015,96.61907564,83.78369623,
