,82.94.mp4,85.52.mp4,85.97.mp4,86.14.mp4,86.40.mp4,87.08.mp4,88.12.mp4,88.26.mp4,93.90.mp4,steps
0,173.020978,151.4153122,134.3851444,129.7997122,130.308729,131.695694,122.8128485,85.96597071,144.8976737,
1,176.5378428,152.9337258,118.7654165,161.8888252,141.9346709,133.5897213,122.8128485,85.96597071,144.8976737,
2,179.7204359,165.9273018,175.2651426,176.5538233,155.9136112,128.0245317,174.1441267,173.3238584,175.4557514,
3,174.6314179,175.5768143,176.284547,94.91255981,171.6808853,161.6390667,98.61120758,179.5519177,179.1392907,
4,175.3201555,174.6290275,168.7653035,171.083269,175.6607911,165.4170794,120.4888952,166.1653651,174.6593917,
5,174.882859,119.9754666,171.4271421,175.5633168,179.4572461,100.9738764,118.9716272,175.2835304,178.0458855,
6,166.307766,148.6055652,173.4483139,173.5931385,139.4459174,88.59619041,117.544942,173.6807538,150.6097457,
7,172.35683,153.0764647,173.1920413,174.4916501,145.0834729,90.37518297,138.5071343,174.8057549,162.4401207,
8,168.8039422,167.1922142,166.8635257,175.6752426,164.7176606,106.1379521,144.7544505,170.1964502,162.3533262,
9,170.4078567,143.7043676,157.6368806,163.23742,164.5957097,178.3035508,162.5342762,155.8145625,161.7356221,
10,147.3180873,144.0175505,133.2102807,153.7355695,167.9053351,165.9624163,156.3862381,116.2796744,155.7695291,
11,166.1740789,140.4878835,107.7834104,118.7014905,126.424074,149.1122832,160.9360845,115.5342896,135.433854,
12,172.1575485,175.9798288,115.9012522,114.4233806,119.4690906,120.4555923,155.3288045,107.5876953,140.1552937,
13,176.6403824,177.9113121,115.8329444,113.7551067,118.470512,122.1355134,142.1166849,109.5777271,139.9961959,1
14,174.3309541,177.798597,126.1097347,122.9858675,131.5837512,103.6486055,166.3246698,116.1474055,144.9258348,
15,165.7233211,162.6146678,141.2503153,138.4260935,144.3294098,119.3629271,179.5395596,135.3401415,163.4041507,
16,164.3607154,166.7694323,149.6261039,148.2022193,152.484976,131.6478287,162.3767495,151.1678994,161.4292581,
17,167.2893401,167.576418,151.9271637,154.056597,160.908515,140.9629668,164.5597563,155.9591537,162.9801818,
18,168.4345319,164.4132116,155.7071365,155.8277336,169.5752504,149.6848647,162.5868994,161.3134088,159.5941612,
19,158.4013896,139.1526014,156.1302048,156.9454188,169.5880103,147.8152025,170.7704762,161.9924273,153.620961,
20,175.5901585,179.0644515,172.1034632,166.14145,168.1089975,161.9868421,172.8798259,170.8325807,143.8427549,2
21,138.5379556,136.7508096,172.0268914,176.6412141,131.4205544,173.1466108,179.1391591,154.768076,175.3325502,
22,164.8029128,139.2859264,177.3089795,129.3104753,170.9932207,175.9402933,174.6616138,132.6134623,175.7411401,
23,144.9894143,145.663386,172.1025014,131.1251463,145.1881061,175.9607378,136.7904256,146.8570859,142.3825392,
24,146.979013,158.6254345,162.1493727,145.8538894,147.6524702,129.8699319,139.7326826,153.6424433,158.8404557,
25,151.1848096,155.3360385,157.6830648,160.8082405,146.9651471,129.4012406,151.9114796,145.935414,162.9668915,
26,161.5558689,162.8498051,160.7386472,162.4140207,167.0195648,140.2393567,163.5503537,157.1981977,159.6571003,
27,158.4702942,157.4428528,159.0700336,156.8673421,155.7075378,165.5505146,155.7638081,160.6395437,169.7064859,
28,152.0257964,150.4814247,136.360068,133.0894293,132.5034401,156.1903872,154.953742,161.3452854,174.0434107,
